연번,식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,식당상태
2226,소리마당시골밥상,전북특별자치도 전주시 덕진구 인교9길 23 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1119-5 ,35.82601214,127.1754809,,한식,일반음식점,운영중
2227,김순례묵은지생등갈비찜송천점,"전북특별자치도 전주시 덕진구 솔내7길 2, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 478-12 ,35.85974609,127.1216655,,분식,일반음식점,운영중
2228,텐퍼센트커피전북대점,"전북특별자치도 전주시 덕진구 명륜3길 21, 1층 102호 (금암동)",전북특별자치도 전주시 덕진구 금암동 1312-38 ,35.84300179,127.1281374,,기타,일반음식점,운영중
2229,경성금돼지,"전북특별자치도 전주시 덕진구 동가재미2길 1, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 836-8 ,35.83317542,127.1608188,,식육(숯불구이),일반음식점,운영중
2230,농업회사법인주식회사유화당,"전북특별자치도 전주시 덕진구 추탄로 48, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 667-2 ,35.84506311,127.109307,,한식,일반음식점,운영중
2231,만년닭강정,"전북특별자치도 전주시 덕진구 기지로 86, 101호 (중동)",전북특별자치도 전주시 덕진구 중동 775-3 ,35.83812768,127.0612898,,호프/통닭,일반음식점,운영중
2232,청춘쏘맥,"전북특별자치도 전주시 덕진구 석소로 9, 1층 101호 일부호 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 921-13 ,35.828261,127.1695918,063-247-8292,호프/통닭,일반음식점,운영중
2233,루나스월,"전북특별자치도 전주시 덕진구 만성남2길 22, 1층 (만성동)",전북특별자치도 전주시 덕진구 만성동 1286-1 ,35.83896685,127.071873,,기타,일반음식점,운영중
2234,쌈쌘(ssam ssan),"전북특별자치도 전주시 덕진구 명륜3길 21, 1층 일부호 (금암동)",전북특별자치도 전주시 덕진구 금암동 1312-38 ,35.84300179,127.1281374,063-275-7292,일식,일반음식점,운영중
2235,김복남맥주1995전주반월점,"전북특별자치도 전주시 덕진구 쪽구름로 116, 3동 1층 일부호 (반월동)",전북특별자치도 전주시 덕진구 반월동 234-57 ,35.87445691,127.0726227,,기타,일반음식점,운영중
2236,오스맘부대찌개,"전북특별자치도 전주시 덕진구 출판로 85, 216동(호반베르디움더클래스 상가동) 112호 (장동)",전북특별자치도 전주시 덕진구 장동 1086 216동(호반베르디움더클래스 상가동) ,35.83987593,127.0624094,,경양식,일반음식점,운영중
2237,스시현,"전북특별자치도 전주시 덕진구 호성로 104-6, 1층 104호 (호성동1가, 태양빌딩)",전북특별자치도 전주시 덕진구 호성동1가 863-28 태양빌딩 ,35.86058448,127.1492923,,횟집,일반음식점,운영중
2238,피케이푸드아중점,"전북특별자치도 전주시 덕진구 가재미로 68, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 843-11 ,35.83101806,127.1616495,063-242-7700,한식,일반음식점,운영중
2239,뉴김밥천국,"전북특별자치도 전주시 덕진구 견훤로 378, 1층 (우아동3가)",전북특별자치도 전주시 덕진구 우아동3가 749-64 ,35.84495009,127.1535992,,일식,일반음식점,운영중
2240,응급실국물떡볶이 전주송천점,"전북특별자치도 전주시 덕진구 솔내8길 16, 1동 101호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 484 1동 101호 ,35.86089125,127.1229705,,분식,일반음식점,운영중
2241,밥상위의한우송천점,"전북특별자치도 전주시 덕진구 사근1길 31, 2층 208,209호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 179-116 ,35.8666696,127.1305583,063-277-2209,한식,일반음식점,운영중
2242,써니네집밥,"전북특별자치도 전주시 덕진구 신복2길 30-6, 1층 (팔복동1가)",전북특별자치도 전주시 덕진구 팔복동1가 183-5 ,35.85518796,127.1085186,063-214-1132,한식,일반음식점,운영중
2243,자매뚝배기,"전북특별자치도 전주시 덕진구 쪽구름로 116, 2동 1층 (반월동)",전북특별자치도 전주시 덕진구 반월동 234-57 ,35.87445691,127.0726227,,한식,일반음식점,운영중
2244,조선치킨안골점,"전북특별자치도 전주시 덕진구 견훤로 376-1, 1층 (우아동3가)",전북특별자치도 전주시 덕진구 우아동3가 749-63 ,35.84482438,127.1536669,063-246-2506,호프/통닭,일반음식점,운영중
2245,자유가맥,"전북특별자치도 전주시 덕진구 편운로 37, 상가동 1층 7호 (동산동, 백우2차아파트)",전북특별자치도 전주시 덕진구 여의동2가 647 백우2차아파트 ,35.87272877,127.0799736,063-211-7273,호프/통닭,일반음식점,운영중
2246,동전주장례문화원,"전북특별자치도 전주시 덕진구 금상길 69, 3층 일부호 (금상동)",전북특별자치도 전주시 덕진구 금상동 1039 ,35.84339457,127.1788658,063-243-4444,기타,일반음식점,운영중
2247,피나치공전주금암점,"전북특별자치도 전주시 덕진구 조경단로 63-1, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 1556-4 ,35.84014554,127.1382749,,경양식,일반음식점,운영중
2248,일공이오,"전북특별자치도 전주시 덕진구 만성남로 28-7, 1층 (만성동)",전북특별자치도 전주시 덕진구 만성동 1281-7 ,35.83951549,127.0717228,063-214-1025,기타,일반음식점,운영중
2249,언니들포차,"전북특별자치도 전주시 덕진구 두간로 24, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 823-1 ,35.86513845,127.1170884,,정종/대포집/소주방,일반음식점,운영중
2250,동창야채닭갈비덕진점,"전북특별자치도 전주시 덕진구 백제대로 563, 코앞 1층 128,129호 (금암동)",전북특별자치도 전주시 덕진구 금암동 668-3 코앞 ,35.84092384,127.1311931,,한식,일반음식점,운영중
2251,부싼항,"전북특별자치도 전주시 덕진구 명륜5길 19, 1층 일부호 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1312-38 ,35.84446433,127.1259849,,기타,일반음식점,운영중
2252,국수공장,"전북특별자치도 전주시 덕진구 팔달로 357-27, 1층 (진북동)",전북특별자치도 전주시 덕진구 진북동 390-3 ,35.83195931,127.1366919,,한식,일반음식점,운영중
2253,양푼집만성점,"전북특별자치도 전주시 덕진구 만성북1길 5-1, 1층 (만성동)",전북특별자치도 전주시 덕진구 만성동 1351-2 ,35.84910507,127.077545,063-212-3337,한식,일반음식점,운영중
2254,킹스타피자만성점,"전북특별자치도 전주시 덕진구 만성로 82, 1층 105호 (만성동)",전북특별자치도 전주시 덕진구 만성동 1291-1 ,35.83898484,127.0742084,,분식,일반음식점,운영중
2255,피자나라치킨공주송천점,"전북특별자치도 전주시 덕진구 붓내3길 24, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 241-1 ,35.86650555,127.1240935,,분식,일반음식점,운영중
2256,돼지게티송천에코점,"전북특별자치도 전주시 덕진구 솔내1길 79, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 171-192 ,35.85737477,127.1252567,063-255-0242,기타,일반음식점,운영중
2257,일등낙지송천점,"전북특별자치도 전주시 덕진구 사근1길 37, 1층 103호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 179-121 ,35.86666707,127.1314553,,정종/대포집/소주방,일반음식점,운영중
2258,고순이감자탕송천호성점,전북특별자치도 전주시 덕진구 동부대로 1077 (송천동2가),전북특별자치도 전주시 덕진구 송천동2가 166-1 ,35.86911175,127.1292583,063-242-7000,한식,일반음식점,운영중
2259,동산팥칼국수,"전북특별자치도 전주시 덕진구 쪽구름로 20, 1층 (동산동)",전북특별자치도 전주시 덕진구 여의동2가 566-3 ,35.86775228,127.0786248,063-211-1730,분식,일반음식점,운영중
2260,퍼주막막걸리,"전북특별자치도 전주시 덕진구 팽나무6길 6-6, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 470-9 유정아파트 판매장 ,35.83548648,127.15619,,한식,일반음식점,운영중
2261,통큰낙곱새,전북특별자치도 전주시 덕진구 원장동길 51 (장동),전북특별자치도 전주시 덕진구 장동 212 ,35.84654669,127.0590875,,한식,일반음식점,운영중
2262,다담감자탕,"전북특별자치도 전주시 덕진구 조경단로 109, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 632-143 ,35.8439849,127.1382445,,한식,일반음식점,운영중
2263,이비가짬뽕전주송천점,"전북특별자치도 전주시 덕진구 동부대로 1072, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 167 ,35.87000846,127.1298686,063-277-3792,중국식,일반음식점,운영중
2264,감성포차아지트,"전북특별자치도 전주시 덕진구 만성중앙로 53-37, 2층 202호 (만성동)",전북특별자치도 전주시 덕진구 만성동 1372-3 ,35.84323844,127.0776571,,정종/대포집/소주방,일반음식점,운영중
2265,응급실국물떡볶이전주인후점,"전북특별자치도 전주시 덕진구 건산로 204-1, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 819-3 ,35.83347359,127.1596314,063-243-0119,분식,일반음식점,운영중
2266,금커피별빙수혁신점,"전북특별자치도 전주시 덕진구 만성중앙로 53-37, 1층 101호 (만성동)",전북특별자치도 전주시 덕진구 만성동 1372-3 1층 101호 ,35.84323844,127.0776571,063-244-0123,기타,일반음식점,운영중
2267,페더럴,"전북특별자치도 전주시 덕진구 팔달로 349, 1층 (진북동)",전북특별자치도 전주시 덕진구 진북동 391-31 ,35.83155449,127.1380577,,경양식,일반음식점,운영중
2268,전주맛집꽃돼지,"전북특별자치도 전주시 덕진구 시천로 84, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 564-11 ,35.86678865,127.1147448,063-272-5882,호프/통닭,일반음식점,운영중
2269,옛날아우내순대전주점,"전북특별자치도 전주시 덕진구 사근1길 31, 1층 109호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 179-116 ,35.8666696,127.1305583,063-277-5524,한식,일반음식점,운영중
2270,마포,"전북특별자치도 전주시 덕진구 조경단로 102-1, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 1590-21 ,35.84350441,127.1391131,,정종/대포집/소주방,일반음식점,운영중
2271,후라이드참잘하는집송천에코점,"전북특별자치도 전주시 덕진구 솔내8길 16, 1층 105호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 484 ,35.86089125,127.1229705,063-277-2214,호프/통닭,일반음식점,운영중
2272,대구반야월막창송천점,"전북특별자치도 전주시 덕진구 솔내로 111, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 137-127 ,35.86009593,127.1263894,063-251-5592,한식,일반음식점,운영중
2273,라스베가스,"전북특별자치도 전주시 덕진구 두간로 19, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 803-6 ,35.86547735,127.1165975,,호프/통닭,일반음식점,운영중
2274,마포갈비,"전북특별자치도 전주시 덕진구 오공로 43-32, 1층 101,102,103호 (중동)",전북특별자치도 전주시 덕진구 중동 777-6 ,35.83765534,127.0608194,,한식,일반음식점,운영중
2275,우가네수제만두,"전북특별자치도 전주시 덕진구 숲정이5길 5, 1층 일부호 (진북동)",전북특별자치도 전주시 덕진구 진북동 416-6 ,35.83177671,127.1351112,,분식,일반음식점,운영중
2276,샤브잇데이,"전북특별자치도 전주시 덕진구 세병서로 22, 5층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1336-1 ,35.87163776,127.124613,063-272-4292,뷔페식,일반음식점,운영중
2277,조은가맥,"전북특별자치도 전주시 덕진구 반촌1길 35, 1층 (진북동)",전북특별자치도 전주시 덕진구 진북동 325-23 ,35.83194393,127.144639,,정종/대포집/소주방,일반음식점,운영중
2278,남원골감자탕,"전북특별자치도 전주시 덕진구 팽나무4길 8-1, 1층 (인후동1가, 시티빌)",전북특별자치도 전주시 덕진구 인후동1가 773-7 시티빌 ,35.83586889,127.1541714,,한식,일반음식점,운영중
2279,다사랑치킨만성점,"전북특별자치도 전주시 덕진구 만성중앙로 49, 1층 110호 (만성동)",전북특별자치도 전주시 덕진구 만성동 1373-2 ,35.84298202,127.0771287,,호프/통닭,일반음식점,운영중
2280,얼맥당송천점,"전북특별자치도 전주시 덕진구 붓내3길 6, 1층 102호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 523-11 ,35.86650889,127.1220782,,정종/대포집/소주방,일반음식점,운영중
2281,명륜진사갈비인후안골점,"전북특별자치도 전주시 덕진구 안덕원로 235-1, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 769-14 ,35.83668815,127.152757,063-245-1177,한식,일반음식점,운영중
2282,신중화루,"전북특별자치도 전주시 덕진구 쪽구름3길 44, 1층 일부호 (동산동)",전북특별자치도 전주시 덕진구 여의동2가 648-3 ,35.87284957,127.0804484,,중국식,일반음식점,운영중
2283,올리브치킨,"전북특별자치도 전주시 덕진구 송천중앙로 85, 1층 102호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 350-4 ,35.85483605,127.1194832,,한식,일반음식점,운영중
2284,두루미밥상,"전북특별자치도 전주시 덕진구 동부대로 930, 3동 2층 201호 (호성동2가)",전북특별자치도 전주시 덕진구 호성동2가 631-33 ,35.86879075,127.1460931,063-246-2223,한식,일반음식점,운영중
2285,마시루,"전북특별자치도 전주시 덕진구 명주5길 11, 1층 51,52,53호 (인후동2가, 성락콤비아파트쇼핑타운)",전북특별자치도 전주시 덕진구 인후동2가 1575-1 성락콤비아파트쇼핑타운 ,35.84516773,127.1512279,,분식,일반음식점,운영중
2286,모녀식당,"전북특별자치도 전주시 덕진구 우아4길 6, 1층 (우아동3가)",전북특별자치도 전주시 덕진구 우아동3가 746-4 ,35.84933843,127.1573055,,한식,일반음식점,운영중
2287,할매닭발송천점,"전북특별자치도 전주시 덕진구 시천로 60, 1층 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 832-5 ,35.86460661,127.1146251,063-271-4892,기타,일반음식점,운영중
2288,그릭요거트앤그래놀라하우스,"전북특별자치도 전주시 덕진구 세병2길 10, 4층 413호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1329-1 로마네시티 현대썬앤빌 전주 ,35.87307957,127.124575,063-222-4589,분식,일반음식점,운영중
2289,어머니손맛,"전북특별자치도 전주시 덕진구 용산1길 13, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 699-7 ,35.83514394,127.1308465,,한식,일반음식점,운영중
2290,커피바움,"전북특별자치도 전주시 덕진구 오공로 43-5, 1층 103호 (중동)",전북특별자치도 전주시 덕진구 중동 776-10 ,35.83672935,127.059967,,기타,일반음식점,운영중
2291,라보테,"전북특별자치도 전주시 덕진구 중동로 104-16, 3층 301,302호 (장동)",전북특별자치도 전주시 덕진구 장동 1093-1 ,35.84357855,127.0645023,,경양식,일반음식점,운영중
2292,창,"전북특별자치도 전주시 덕진구 명륜5길 17-1, 1층 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1314-204 ,35.84421053,127.1257885,,호프/통닭,일반음식점,운영중
2293,더월하,"전북특별자치도 전주시 덕진구 사근1길 31, 1층 114호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 179-116 ,35.8666696,127.1305583,,한식,일반음식점,운영중
2294,호성루,"전북특별자치도 전주시 덕진구 동부대로 803, 1층 107호,108호 (호성동1가)",전북특별자치도 전주시 덕진구 호성동1가 791-1 ,35.85900598,127.1542361,063-242-3353,중국식,일반음식점,운영중
2295,치순이통닭,전북특별자치도 전주시 덕진구 혁신로 665 (반월동),전북특별자치도 전주시 덕진구 반월동 1236 ,35.87146529,127.0727129,,호프/통닭,일반음식점,운영중
2296,장미맨숀전북대점,"전북특별자치도 전주시 덕진구 명륜5길 10-2, 1층 101호 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1262-2 코원빌딩 ,35.84317202,127.125512,,기타,일반음식점,운영중
2297,효자동솥뚜껑송천점,"전북특별자치도 전주시 덕진구 붓내3길 18, 1층 102호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 245-1 ,35.86642765,127.1232971,,식육(숯불구이),일반음식점,운영중
2298,큰집피순대본점,"전북특별자치도 전주시 덕진구 덕용4길 4, 1층 (동산동)",전북특별자치도 전주시 덕진구 여의동2가 702-54 ,35.87066664,127.0778603,063-213-0488,한식,일반음식점,운영중
2299,독도,전북특별자치도 전주시 덕진구 두간로 21 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 803-7 ,35.86551478,127.1167853,,일식,일반음식점,운영중
2300,재방마을길52,"전북특별자치도 전주시 덕진구 재방마을길 52, 1층 (장동)",전북특별자치도 전주시 덕진구 장동 800-1 ,35.85682048,127.0601066,063-211-4600,분식,일반음식점,운영중
2301,크라운호프 아중2호점,전북특별자치도 전주시 덕진구 한배미로 68 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1097-10 ,35.8262609,127.1710181,,호프/통닭,일반음식점,운영중
2302,핸더,"전북특별자치도 전주시 덕진구 아중로 233, 1층 101,102일부호 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 934-10 ,35.82924103,127.1744846,063-909-3200,경양식,일반음식점,운영중
2303,메르밀진미집만성점,"전북특별자치도 전주시 덕진구 만성북1길 30, 1층 (만성동)",전북특별자치도 전주시 덕진구 만성동 1352-1 ,35.84974631,127.0753677,063-211-5544,분식,일반음식점,운영중
2304,도도랑호성역전점,"전북특별자치도 전주시 덕진구 우아3길 16, 1층 (우아동3가)",전북특별자치도 전주시 덕진구 우아동3가 747-10 ,35.84883655,127.155141,,한식,일반음식점,운영중
2305,도담국밥앤수육,"전북특별자치도 전주시 덕진구 세병2길 31-7, 1층 104호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1327-8 ,35.87334301,127.1273406,,한식,일반음식점,운영중
2306,화향담육본점,"전북특별자치도 전주시 덕진구 붓내3길 17, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 244-10 ,35.86677953,127.1233486,,식육(숯불구이),일반음식점,운영중
2307,다니네식당,"전북특별자치도 전주시 덕진구 팔복로 26, 1동 1층 일부호 (팔복동2가)",전북특별자치도 전주시 덕진구 팔복동2가 121-42 ,35.84851138,127.102737,,분식,일반음식점,운영중
2308,명륜,"전북특별자치도 전주시 덕진구 명륜5길 10-2, 코원빌딩 1층 102호 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1262-2 코원빌딩 ,35.84317202,127.125512,,경양식,일반음식점,운영중
2309,브리즈번,"전북특별자치도 전주시 덕진구 명륜1길 13-5, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 707-17 ,35.84121722,127.1293856,,기타,일반음식점,운영중
2310,참고깃집식당,"전북특별자치도 전주시 덕진구 사근1길 57, 1동 1층 101호, 102호, 103호 일부호 (송천동2가)","전북특별자치도 전주시 덕진구 송천동2가 185-1 외 2필지 1동 1층 101호, 102호, 103호 일부호 ",35.8665291,127.1335717,,한식,일반음식점,운영중
2311,크라운호프송천2호점,"전북특별자치도 전주시 덕진구 붓내3길 3, 1층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 484-2 ,35.86681458,127.1219752,,호프/통닭,일반음식점,운영중
2312,천마민물숯불장어,"전북특별자치도 전주시 덕진구 천마산로 73, 1층 118호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 179-40 ,35.86540904,127.1294869,,한식,일반음식점,운영중
2313,우성칼국수,"전북특별자치도 전주시 덕진구 벚꽃로 57, 우성아파트상가 지하1층 1호 (진북동)",전북특별자치도 전주시 덕진구 진북동 416 우성아파트상가 ,35.83031103,127.1355919,,한식,일반음식점,운영중
2314,깻잎수산셀프식당2호점,"전북특별자치도 전주시 덕진구 동부대로 930, 3동 2층 202호 (호성동2가)",전북특별자치도 전주시 덕진구 호성동2가 631-33 ,35.86879075,127.1460931,063-276-5678,식육(숯불구이),일반음식점,운영중
2315,맘스터치에코점,"전북특별자치도 전주시 덕진구 세병로 137, 에코시티자이2차상가 213동 1층 106호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1307 에코시티자이2차상가 ,35.87613132,127.1340321,,분식,일반음식점,운영중
2316,카사바국수,"전북특별자치도 전주시 덕진구 송천중앙로 175, 1층 103일부호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 486-17 ,35.86256412,127.1212469,,한식,일반음식점,운영중
2317,하림가마솥통닭,"전북특별자치도 전주시 덕진구 가리내4길 19, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 661-5 ,35.8460924,127.1095502,,일식,일반음식점,운영중
2318,이대연어,"전북특별자치도 전주시 덕진구 세병1길 32, 1층 101호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1327-4 ,35.87352962,127.1269731,,한식,일반음식점,운영중
2319,우리외식산업,"전북특별자치도 전주시 덕진구 도당산로 31, 1층 (우아동3가)",전북특별자치도 전주시 덕진구 우아동3가 751-69 ,35.84521587,127.1567956,,한식,일반음식점,운영중
2320,(주)잇웰,"전북특별자치도 전주시 덕진구 석소로 9-14, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 921-3 ,35.82788324,127.1684004,063-245-4315,한식,일반음식점,운영중
2321,스페쏘본점,"전북특별자치도 전주시 덕진구 붓내3길 14, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 247-4 ,35.86652235,127.1226871,,정종/대포집/소주방,일반음식점,운영중
2322,머꼬가유호떡,"전북특별자치도 전주시 덕진구 솔내로 103, 1층 101호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 137-135 ,35.85923936,127.1263434,,분식,일반음식점,운영중
2323,진희커피숍,"전북특별자치도 전주시 덕진구 가리내로 22, 지하1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 460-25 ,35.83447942,127.1336873,063-252-4477,기타,일반음식점,운영중
2324,일루카,"전북특별자치도 전주시 덕진구 세병2길 16, 4층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1330-4 한서빌딩 ,35.87283447,127.1255743,063-252-2244,경양식,일반음식점,운영중
2325,아중국수,"전북특별자치도 전주시 덕진구 인교로 35-6, 1층 (우아동1가)",전북특별자치도 전주시 덕진구 우아동1가 1107-10 ,35.82541575,127.1726317,063-241-3070,분식,일반음식점,운영중
2326,부송국수전주아중점,"전북특별자치도 전주시 덕진구 한배미로 24, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 943-3 ,35.82423546,127.1674645,,한식,일반음식점,운영중
2327,드림닭곰탕,"전북특별자치도 전주시 덕진구 만성로 82, 1층 104호 (만성동)",전북특별자치도 전주시 덕진구 만성동 1291-1 ,35.83898484,127.0742084,,한식,일반음식점,운영중
2328,태양이네치킨,"전북특별자치도 전주시 덕진구 모래내3길 1, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 199-5 ,35.83378989,127.1418632,,호프/통닭,일반음식점,운영중
2329,솝말청국장아중호수점,"전북특별자치도 전주시 덕진구 인교9길 21-10, 1층 (우아동1가)",전북특별자치도 전주시 덕진구 우아동1가 1116-7 ,35.82667808,127.1753301,,한식,일반음식점,운영중
2330,피자마루에코시티점,"전북특별자치도 전주시 덕진구 세병로 111, 116동 1층 101호 일부호 (송천동2가, 에코시티자이)",전북특별자치도 전주시 덕진구 송천동2가 1308 에코시티자이 ,35.87454465,127.1352343,,분식,일반음식점,운영중
2331,미담덕장,"전북특별자치도 전주시 덕진구 전주천동로 483, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 760-1 전북사회복지관 ,35.83608056,127.129497,,한식,일반음식점,운영중
2332,푸라닭전북대점,"전북특별자치도 전주시 덕진구 조경단로 64, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 1561-14 ,35.83995897,127.1386532,,호프/통닭,일반음식점,운영중
2333,멕시카나치킨덕진하가점,"전북특별자치도 전주시 덕진구 가련산로 11, 1층 102호일부호 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 693-2 ,35.84110293,127.1100597,,호프/통닭,일반음식점,운영중
2334,아라치인후점,"전북특별자치도 전주시 덕진구 진버들1길 17, 1층 일부호 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 493-1 ,35.83659179,127.1582924,,호프/통닭,일반음식점,운영중
2335,주식회사푸드이츠,"전북특별자치도 전주시 덕진구 솔내7길 8, 1층 일부호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 478-13 ,35.85972944,127.1218539,,한식,일반음식점,운영중
2336,치순이통닭앤가맥,"전북특별자치도 전주시 덕진구 붓내3길 40, 1층 일부호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 226-4 ,35.86652664,127.1257542,,호프/통닭,일반음식점,운영중
2337,칸스전주,"전북특별자치도 전주시 덕진구 조경단로 63, 1층 일부호 (금암동)",전북특별자치도 전주시 덕진구 금암동 1556-5 ,35.84003715,127.1382428,,한식,일반음식점,운영중
2338,만계치킨전북대점,"전북특별자치도 전주시 덕진구 명륜3길 19, 2층 202호 (덕진동1가)",전북특별자치도 전주시 덕진구 덕진동1가 1314-176 ,35.84295529,127.1279387,,호프/통닭,일반음식점,운영중
2339,황태도둑본점,"전북특별자치도 전주시 덕진구 만성중앙로 51, 1층 108,109호 (만성동)",전북특별자치도 전주시 덕진구 만성동 1373-3 ,35.84285789,127.0773958,,일식,일반음식점,운영중
2340,청춘불족발,"전북특별자치도 전주시 덕진구 아중로 109, 1층 일부호 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 912-6 ,35.82487232,127.1618247,,기타,일반음식점,운영중
2341,신포우리만두에코시티점,"전북특별자치도 전주시 덕진구 세병남로 29, 1층 102호,103호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 1331-14 ,35.87227915,127.1272968,063-272-3655,분식,일반음식점,운영중
2342,아마레,"전북특별자치도 전주시 덕진구 사근1길 37, 2층 201호,202호 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 179-121 ,35.86666707,127.1314553,063-277-7091,경양식,일반음식점,운영중
2343,호성동끝집,"전북특별자치도 전주시 덕진구 호성2길 20-10, 109호 (호성동1가)",전북특별자치도 전주시 덕진구 호성동1가 827-1 ,35.8600335,127.1516787,063-241-6554,한식,일반음식점,운영중
2344,카페레어,"전북특별자치도 전주시 덕진구 석소로 9-9, 1층 (인후동1가)",전북특별자치도 전주시 덕진구 인후동1가 922-4 ,35.82781481,127.1689324,063-714-3442,기타,일반음식점,운영중
2345,길순닭발,"전북특별자치도 전주시 덕진구 중상보로 27, 1층 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 884-7 ,35.83323329,127.1704698,,한식,일반음식점,운영중
2346,다락청정중식,"전북특별자치도 전주시 덕진구 건지로 14-8, 1층 (금암동)",전북특별자치도 전주시 덕진구 금암동 1596-5 ,35.84512977,127.1433243,063-251-9696,중국식,일반음식점,운영중
2347,초가집가든,"전북특별자치도 전주시 덕진구 과학로 67-9, 1,2층 (송천동2가)",전북특별자치도 전주시 덕진구 송천동2가 359-2 ,35.87562507,127.1251007,,한식,일반음식점,운영중
2348,차린,"전북특별자치도 전주시 덕진구 중동로 104-10, 3층 302호 (장동)",전북특별자치도 전주시 덕진구 장동 1093-4 ,35.8429567,127.0645096,,분식,일반음식점,운영중
2349,신의혼밥송천점,"전북특별자치도 전주시 덕진구 용소로 93, 1층 일부호 (송천동1가)",전북특별자치도 전주시 덕진구 송천동1가 818-8 ,35.86372482,127.1185103,,중국식,일반음식점,운영중
2350,강변생선구이,"전북특별자치도 전주시 덕진구 호성신중길 14-34, 2층 (호성동3가)",전북특별자치도 전주시 덕진구 호성동3가 197-4 ,35.89696265,127.1393664,,한식,일반음식점,운영중
2351,점잔,"전북특별자치도 전주시 덕진구 석소로 88, 1층 104호 (우아동2가)",전북특별자치도 전주시 덕진구 우아동2가 566-1 ,35.83502586,127.1677062,,기타,일반음식점,운영중
